filing_dt,symbol,owner,shares,price,amount_usd,tenb5,txn_date,filing_url,xml_url
2025-11-04T07:32:09-05:00,MTDR,Macalik Robert T,1039.0,39.4,40936.6,False,2025-10-31,https://www.sec.gov/Archives/edgar/data/1520006/000164728025000005/0001647280-25-000005-index.htm,https://www.sec.gov/Archives/edgar/data/1520006/000164728025000005/0001647280-25-000005.txt
2025-11-04T07:31:42-05:00,CZFS,BLACK RANDALL E,278.0,54.0,15012.0,False,2025-11-03,https://www.sec.gov/Archives/edgar/data/1215809/000073942125000114/0000739421-25-000114-index.htm,https://www.sec.gov/Archives/edgar/data/739421/000073942125000114/primary_doc.xml
2025-11-04T07:31:16-05:00,MTDR,Erman Bryan A,1000.0,39.6,39600.0,False,2025-10-31,https://www.sec.gov/Archives/edgar/data/2015754/000201575425000005/0002015754-25-000005-index.htm,https://www.sec.gov/Archives/edgar/data/1520006/000201575425000005/0002015754-25-000005.txt
2025-11-04T07:19:33-05:00,NEWT,Zink Gregory L,1000.0,10.43,10430.0,False,2025-11-03,https://www.sec.gov/Archives/edgar/data/1702555/000162828025048530/0001628280-25-048530-index.htm,https://www.sec.gov/Archives/edgar/data/1587987/000162828025048530/0001628280-25-048530.txt
2025-11-04T06:16:15-05:00,GLSI,Patel Snehal,2300.0,9.26,21298.0,False,2025-10-31,https://www.sec.gov/Archives/edgar/data/1806920/000149315225020675/0001493152-25-020675-index.htm,https://www.sec.gov/Archives/edgar/data/1806920/000149315225020675/ownership.xml
2025-11-04T06:16:15-05:00,GLSI,Patel Snehal,2300.0,9.26,21298.0,False,2025-10-31,https://www.sec.gov/Archives/edgar/data/1799788/000149315225020675/0001493152-25-020675-index.htm,https://www.sec.gov/Archives/edgar/data/1799788/000149315225020675/ownership.xml
2025-11-05T14:10:38-05:00,SCKT,BASS CHARLIE,5000.0,0.9837,4918.5,False,2025-11-03,https://www.sec.gov/Archives/edgar/data/1192161/000094407525000081/0000944075-25-000081-index.htm,https://www.sec.gov/Archives/edgar/data/944075/000094407525000081/primary_doc.xml
2025-11-05T14:10:38-05:00,SCKT,BASS CHARLIE,5000.0,1.0346,5173.0,False,2025-11-04,https://www.sec.gov/Archives/edgar/data/1192161/000094407525000081/0000944075-25-000081-index.htm,https://www.sec.gov/Archives/edgar/data/944075/000094407525000081/primary_doc.xml
2025-11-05T13:43:15-05:00,AROW,Ivanov Penko Krassimir,1617.0,29.82,48218.94,False,2025-11-04,https://www.sec.gov/Archives/edgar/data/1577827/000157782725000011/0001577827-25-000011-index.htm,https://www.sec.gov/Archives/edgar/data/717538/000157782725000011/0001577827-25-000011.txt
2025-11-06T14:39:32-05:00,QNTO,STRONG ROBERT T,500.0,9.16,4580.0,False,2025-11-05,https://www.sec.gov/Archives/edgar/data/1403483/000143774925033570/0001437749-25-033570-index.htm,https://www.sec.gov/Archives/edgar/data/1391933/000143774925033570/0001437749-25-033570.txt
2025-11-06T14:29:53-05:00,NIC,Ghidorzi Christopher J.,105.0,121.52,12759.6,False,2025-11-04,https://www.sec.gov/Archives/edgar/data/1487072/000117485025000083/0001174850-25-000083-index.htm,https://www.sec.gov/Archives/edgar/data/1487072/000117485025000083/form4.xml
2025-11-06T14:07:12-05:00,FMAO,Boyce Ian D,403.62,24.66,9953.2692,False,2025-11-05,https://www.sec.gov/Archives/edgar/data/2005860/000119312525268951/0001193125-25-268951-index.htm,https://www.sec.gov/Archives/edgar/data/792966/000119312525268951/ownership.xml
2025-11-06T14:03:30-05:00,NONE,Suva,840000.0,10.0,8400000.0,False,2025-11-04,https://www.sec.gov/Archives/edgar/data/1976719/000110465925107625/0001104659-25-107625-index.htm,https://www.sec.gov/Archives/edgar/data/1539030/000110465925107625/tm2530377-1_4seq1.xml
2025-11-06T14:03:30-05:00,NONE,Suva,840000.0,10.0,8400000.0,False,2025-11-04,https://www.sec.gov/Archives/edgar/data/1539030/000110465925107625/0001104659-25-107625-index.htm,https://www.sec.gov/Archives/edgar/data/1539030/000110465925107625/0001104659-25-107625.txt
2025-11-07T14:25:32-05:00,RBKB,Nihill Kevin M,1000.0,9.67,9670.0,False,2025-11-06,https://www.sec.gov/Archives/edgar/data/2029481/000143774925033829/0001437749-25-033829-index.htm,https://www.sec.gov/Archives/edgar/data/1751783/000143774925033829/0001437749-25-033829.txt
2025-11-07T21:00:12-05:00,BETA,DAVIS CHARLES A,2941177.0,32.98,97000017.46,False,2025-11-05,https://www.sec.gov/Archives/edgar/data/1784570/000119312525272842/0001193125-25-272842-index.htm,https://www.sec.gov/Archives/edgar/data/1071287/000119312525272842/ownership.xml
2025-11-07T21:00:11-05:00,BETA,Churchill David Lawrence,1500.0,34.0,51000.0,False,2025-11-05,https://www.sec.gov/Archives/edgar/data/2090119/000119312525272841/0001193125-25-272841-index.htm,https://www.sec.gov/Archives/edgar/data/1784570/000119312525272841/ownership.xml
2025-11-07T21:00:09-05:00,BETA,Dunkiel Brian,1500.0,34.0,51000.0,False,2025-11-05,https://www.sec.gov/Archives/edgar/data/2089966/000119312525272840/0001193125-25-272840-index.htm,https://www.sec.gov/Archives/edgar/data/1784570/000119312525272840/ownership.xml
2025-11-07T21:00:07-05:00,BETA,McConville James,1000.0,34.0,34000.0,False,2025-11-05,https://www.sec.gov/Archives/edgar/data/2089887/000119312525272839/0001193125-25-272839-index.htm,https://www.sec.gov/Archives/edgar/data/1784570/000119312525272839/ownership.xml
2025-11-07T21:00:06-05:00,BETA,Hunter Mark William,588.0,34.0,19992.0,False,2025-11-05,https://www.sec.gov/Archives/edgar/data/2091546/000119312525272837/0001193125-25-272837-index.htm,https://www.sec.gov/Archives/edgar/data/1784570/000119312525272837/ownership.xml
2025-11-07T21:00:04-05:00,BETA,Cueto Herman,4167.0,34.0,141678.0,False,2025-11-05,https://www.sec.gov/Archives/edgar/data/1997198/000119312525272838/0001193125-25-272838-index.htm,https://www.sec.gov/Archives/edgar/data/1784570/000119312525272838/ownership.xml
2025-11-07T21:00:02-05:00,BETA,Kamen Dean,50000.0,34.0,1700000.0,False,2025-11-05,https://www.sec.gov/Archives/edgar/data/2089889/000119312525272836/0001193125-25-272836-index.htm,https://www.sec.gov/Archives/edgar/data/1784570/000119312525272836/ownership.xml
2025-11-07T21:00:06-05:00,BETA,Hunter Mark William,588.0,34.0,19992.0,False,2025-11-05,https://www.sec.gov/Archives/edgar/data/2091546/000119312525272837/0001193125-25-272837-index.htm,https://www.sec.gov/Archives/edgar/data/2091546/000119312525272837/ownership.xml
